Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
13664,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avicarmilhil2,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304982
13665,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avifujsar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304987
13666,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avileu,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304983
13667,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avimyebla,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304984
13668,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avimyecyt29,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304985
13669,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avirousar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304988
13670,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus avisar10,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304986
13671,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus aviUR2sar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304989
13672,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Alpharetrovirus,,Alpharetrovirus aviY73sar,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304990
13673,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Betaretrovirus,,Betaretrovirus lan,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202304993
